% 
% 
@RELATION GCH 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE 19 REAL
@ATTRIBUTE 20 REAL
@ATTRIBUTE 21 REAL
@ATTRIBUTE 22 REAL
@ATTRIBUTE 23 REAL
@ATTRIBUTE 24 REAL
@ATTRIBUTE 25 REAL
@ATTRIBUTE 26 REAL
@ATTRIBUTE 27 REAL
@ATTRIBUTE 28 REAL
@ATTRIBUTE 29 REAL
@ATTRIBUTE 30 REAL
@ATTRIBUTE 31 REAL
@ATTRIBUTE 32 REAL
@ATTRIBUTE 33 REAL
@ATTRIBUTE 34 REAL
@ATTRIBUTE 35 REAL
@ATTRIBUTE 36 REAL
@ATTRIBUTE 37 REAL
@ATTRIBUTE 38 REAL
@ATTRIBUTE 39 REAL
@ATTRIBUTE 40 REAL
@ATTRIBUTE 41 REAL
@ATTRIBUTE 42 REAL
@ATTRIBUTE 43 REAL
@ATTRIBUTE 44 REAL
@ATTRIBUTE 45 REAL
@ATTRIBUTE 46 REAL
@ATTRIBUTE 47 REAL
@ATTRIBUTE 48 REAL
@ATTRIBUTE 49 REAL
@ATTRIBUTE 50 REAL
@ATTRIBUTE 51 REAL
@ATTRIBUTE 52 REAL
@ATTRIBUTE 53 REAL
@ATTRIBUTE 54 REAL
@ATTRIBUTE 55 REAL
@ATTRIBUTE 56 REAL
@ATTRIBUTE 57 REAL
@ATTRIBUTE 58 REAL
@ATTRIBUTE 59 REAL
@ATTRIBUTE 60 REAL
@ATTRIBUTE 61 REAL
@ATTRIBUTE 62 REAL
@ATTRIBUTE 63 REAL
@ATTRIBUTE 64 REAL
@ATTRIBUTE 65 REAL
@ATTRIBUTE 66 REAL
@ATTRIBUTE class {2-0, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6} 

@DATA 
72629.0,268.0,220.0,199.0,277.0,356.0,535.0,5731.0,8143.0,8680.0,10826.0,12642.0,18109.0,25219.0,28933.0,28986.0,16369.0,4122.0,12.0,0.0,0.0,0.0,72911.0,986.0,10306.0,23235.0,47906.0,36271.0,24432.0,14007.0,6787.0,4082.0,1326.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72942.0,2255.0,13109.0,32533.0,46943.0,31851.0,24848.0,8390.0,5582.0,3406.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
57296.0,252.0,203.0,215.0,196.0,256.0,525.0,5460.0,7815.0,8434.0,10994.0,12585.0,17846.0,24658.0,33188.0,35023.0,12598.0,2708.0,4.0,0.0,0.0,0.0,57529.0,479.0,7654.0,38027.0,51663.0,36560.0,20772.0,8562.0,6156.0,2668.0,183.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57535.0,860.0,15043.0,45611.0,49030.0,30617.0,16915.0,7096.0,5729.0,1764.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
60442.0,211.0,229.0,201.0,204.0,239.0,424.0,4205.0,6876.0,6896.0,8963.0,11949.0,24627.0,28238.0,27164.0,25499.0,18524.0,8144.0,1.0,0.0,0.0,0.0,60650.0,530.0,7554.0,49687.0,50695.0,27360.0,13149.0,9648.0,9742.0,4021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60665.0,1145.0,24326.0,50658.0,46491.0,17002.0,12155.0,8693.0,8956.0,2945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
54828.0,240.0,216.0,211.0,218.0,318.0,2164.0,8589.0,9028.0,10113.0,13402.0,14709.0,20774.0,33037.0,36131.0,18785.0,5752.0,392.0,0.0,0.0,0.0,0.0,55076.0,1020.0,10563.0,30005.0,63292.0,37802.0,13426.0,9388.0,6027.0,2062.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55116.0,2530.0,13072.0,42195.0,62301.0,27362.0,10685.0,8843.0,5191.0,1545.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
54433.0,211.0,223.0,183.0,206.0,255.0,896.0,7137.0,9388.0,11058.0,12399.0,13159.0,15300.0,20480.0,23156.0,21916.0,13077.0,4159.0,0.0,0.0,0.0,0.0,54765.0,4349.0,22955.0,39464.0,40763.0,15206.0,10307.0,10241.0,7909.0,1675.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55245.0,11084.0,29693.0,42534.0,29999.0,11643.0,10031.0,9487.0,6941.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
59745.0,217.0,186.0,183.0,189.0,215.0,282.0,3127.0,7483.0,9123.0,9718.0,9253.0,10675.0,13948.0,16405.0,17594.0,17206.0,13254.0,8382.0,0.0,0.0,0.0,59972.0,1031.0,13836.0,18137.0,25311.0,23642.0,22981.0,12429.0,7968.0,8913.0,2964.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60028.0,5172.0,16410.0,21824.0,24938.0,23450.0,20221.0,8212.0,7550.0,7788.0,1592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
61484.0,226.0,215.0,197.0,205.0,302.0,455.0,4902.0,8025.0,9684.0,14270.0,14431.0,15288.0,16224.0,20215.0,23971.0,20167.0,11201.0,2.0,0.0,0.0,0.0,61758.0,1012.0,13903.0,39887.0,29278.0,28621.0,18130.0,13706.0,13358.0,1811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61812.0,2742.0,26057.0,37129.0,27637.0,26452.0,14426.0,13718.0,10628.0,863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
67114.0,232.0,229.0,169.0,219.0,216.0,356.0,3916.0,7921.0,8556.0,11813.0,14657.0,19653.0,20915.0,21137.0,22634.0,22896.0,14794.0,2813.0,0.0,0.0,0.0,67384.0,969.0,14897.0,37322.0,31986.0,29602.0,23831.0,11187.0,12497.0,9213.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67433.0,3685.0,27878.0,32149.0,32392.0,30434.0,15449.0,10457.0,11694.0,7883.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
42000.0,214.0,189.0,191.0,201.0,226.0,637.0,6131.0,7705.0,8799.0,11074.0,13260.0,18844.0,23531.0,20238.0,20328.0,15107.0,3280.0,0.0,0.0,0.0,0.0,42357.0,3692.0,29604.0,43728.0,30555.0,14529.0,9320.0,6481.0,7237.0,4440.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42770.0,11280.0,42463.0,39347.0,19979.0,11738.0,7817.0,6248.0,6572.0,3739.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
60671.0,256.0,217.0,203.0,205.0,329.0,423.0,1949.0,9423.0,10219.0,11697.0,12176.0,16241.0,20726.0,22280.0,22258.0,21164.0,23532.0,13715.0,893.0,0.0,0.0,60904.0,445.0,2375.0,24157.0,52384.0,32670.0,19001.0,13471.0,14945.0,19052.0,9124.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60928.0,489.0,7293.0,42013.0,45216.0,25398.0,15882.0,13189.0,15448.0,16704.0,5991.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-0
